Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	D3H4S5	Potassium binding protein Kbp OS=Escherichia coli O44:H18 (strain 042 / EAEC) OX=216592 GN=EC042_2862 PE=4 SV=1	Escherichia coli O44:H18 (strain 042 / EAEC)	149	760	100.0	100.0	9.7e-102
2	TR	A0AAD2S172	Potassium binding protein Kbp OS=Escherichia coli O6 OX=217992 GN=EIG44_14250 PE=4 SV=1	Escherichia coli O6	149	760	100.0	100.0	9.7e-102
3	TR	A0A7K4HY61	Potassium binding protein Kbp OS=Escherichia fergusonii OX=564 GN=kbp PE=4 SV=1	Escherichia fergusonii	149	760	100.0	100.0	9.7e-102
4	TR	A0A1S9K9M4	Potassium binding protein Kbp OS=Shigella dysenteriae OX=622 GN=ygaU PE=4 SV=1	Shigella dysenteriae	149	760	100.0	100.0	9.7e-102
5	TR	E0J5N4	Potassium binding protein Kbp OS=Escherichia coli (strain ATCC 9637 / CCM 2024 / DSM 1116 / LMG 11080 / NBRC 13500 / NCIMB 8666 / NRRL B-766 / W) OX=566546 GN=ygaU PE=4 SV=1	Escherichia coli (strain ATCC 9637 / CCM 2024 / DSM 1116 / LMG 11080 / NBRC 13500 / NCIMB 8666 / NRRL B-766 / W)	149	760	100.0	100.0	9.7e-102
6	TR	A0AAN4NS77	Potassium binding protein Kbp OS=Escherichia coli 1-250-04_S3_C1 OX=1444135 GN=AC00_3063 PE=4 SV=1	Escherichia coli 1-250-04_S3_C1	149	760	100.0	100.0	9.7e-102
7	TR	A0A0H2Z1W8	Potassium binding protein Kbp OS=Escherichia coli O1:K1 / APEC OX=405955 GN=ygaU PE=4 SV=1	Escherichia coli O1:K1 / APEC	149	760	100.0	100.0	9.7e-102
8	TR	Q1R838	Potassium binding protein Kbp OS=Escherichia coli (strain UTI89 / UPEC) OX=364106 GN=ygaU PE=4 SV=1	Escherichia coli (strain UTI89 / UPEC)	149	760	100.0	100.0	9.7e-102
9	TR	B7LVS3	Potassium binding protein Kbp OS=Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73) OX=585054 GN=ygaU PE=4 SV=1	Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73)	149	760	100.0	100.0	9.7e-102
10	TR	A0A454A6M6	Potassium binding protein Kbp OS=Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663 GN=ECP_2628 PE=4 SV=1	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	149	760	100.0	100.0	9.7e-102
11	TR	A0A828U2A0	Potassium binding protein Kbp OS=Escherichia coli DEC2D OX=868141 GN=ECDEC2D_3145 PE=4 SV=1	Escherichia coli DEC2D	149	760	100.0	100.0	9.7e-102
12	TR	A0AAD2V649	Potassium binding protein Kbp OS=Escherichia coli O33 OX=1010802 GN=kbp PE=4 SV=1	Escherichia coli O33	149	760	100.0	100.0	9.7e-102
13	TR	A0A4P8C124	Potassium binding protein Kbp OS=Escherichia coli O145:NM OX=991919 GN=lysM PE=4 SV=1	Escherichia coli O145:NM	149	760	100.0	100.0	9.7e-102
14	TR	A0ABD7FQH3	Potassium binding protein Kbp OS=Escherichia coli O141:H4 OX=2861806 GN=kbp PE=4 SV=1	Escherichia coli O141:H4	149	760	100.0	100.0	9.7e-102
15	TR	A0A0H3EK32	Potassium binding protein Kbp OS=Escherichia coli O83:H1 (strain NRG 857C / AIEC) OX=685038 GN=NRG857_13045 PE=4 SV=1	Escherichia coli O83:H1 (strain NRG 857C / AIEC)	149	760	100.0	100.0	9.7e-102
16	TR	A0AAE5JZ25	Potassium binding protein Kbp OS=Shigella sonnei OX=624 GN=CI727_24275 PE=4 SV=1	Shigella sonnei	149	760	100.0	100.0	9.7e-102
17	TR	A0A5R8R8F0	Potassium binding protein Kbp OS=Escherichia coli O25b:H4 OX=941280 GN=EWT59_22810 PE=4 SV=1	Escherichia coli O25b:H4	149	760	100.0	100.0	9.7e-102
18	TR	B7UH84	Potassium binding protein Kbp OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=ygaU PE=4 SV=1	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	149	760	100.0	100.0	9.7e-102
19	TR	Q32CR3	Potassium binding protein Kbp OS=Shigella dysenteriae serotype 1 (strain Sd197) OX=300267 GN=ygaU PE=4 SV=1	Shigella dysenteriae serotype 1 (strain Sd197)	149	760	100.0	100.0	9.7e-102
20	TR	A0ABC7ZVM3	Potassium binding protein Kbp OS=Escherichia coli O145:H28 (strain RM12581) OX=1248823 GN=ygaU PE=4 SV=1	Escherichia coli O145:H28 (strain RM12581)	149	760	100.0	100.0	9.7e-102
21	TR	A0A9Q6V107	Potassium binding protein Kbp OS=Escherichia coli O145 OX=1055538 GN=kbp PE=4 SV=1	Escherichia coli O145	149	760	100.0	100.0	9.7e-102
22	TR	A0AA36KZU2	Potassium binding protein Kbp OS=Escherichia coli O25b:H4-ST131 OX=941322 GN=ygaU PE=4 SV=1	Escherichia coli O25b:H4-ST131	149	760	100.0	100.0	9.7e-102
23	TR	A0A0E2L0Q8	Potassium binding protein Kbp OS=Escherichia coli (strain UMEA 3162-1) OX=1281200 GN=G925_02790 PE=4 SV=1	Escherichia coli (strain UMEA 3162-1)	149	760	100.0	100.0	9.7e-102
24	TR	B7MKD6	Potassium binding protein Kbp OS=Escherichia coli O45:K1 (strain S88 / ExPEC) OX=585035 GN=ygaU PE=4 SV=1	Escherichia coli O45:K1 (strain S88 / ExPEC)	149	760	100.0	100.0	9.7e-102
